F1,F2,F3,F4,gender,marital_status,academic_year,academic_failure,degree_program,faculty_environment,home_environment
3.8333333333333335,4.333333333333333,1.75,4.0,Male,Married,Year 4,Once or twice,B.B.A. (Hons) in Finance,Very satisfied,Yes
4.0,5.0,3.0,2.0,Male,Single,Year 1,Never,,Satisfied,Yes
4.666666666666667,3.6666666666666665,2.25,4.0,Female,Single,Year 2,Never,,Dissatisfied,Yes
3.3333333333333335,3.0,1.5,4.5,Female,Single,Year 4,Never,B.B.A. (Hons) in Business Economics,Very satisfied,No
3.8333333333333335,4.666666666666667,3.0,2.5,Male,Single,Year 2,Never,,Neither satisfied nor dissatisfied,Yes
3.0,3.0,3.0,3.0,Female,Single,Year 2,Never,,Satisfied,Yes
3.3333333333333335,3.3333333333333335,2.75,3.0,Male,Single,Year 2,Never,,Satisfied,Yes
3.1666666666666665,3.0,3.0,3.5,Male,Single,Year 2,Never,,Satisfied,No
3.1666666666666665,3.0,3.25,3.5,Male,Single,Year 2,Never,,Satisfied,No
3.0,3.0,2.75,3.0,Female,Single,Year 2,Never,,Neither satisfied nor dissatisfied,Yes
3.1666666666666665,3.0,3.0,3.0,Female,Single,Year 2,Never,,Neither satisfied nor dissatisfied,Yes
4.5,2.6666666666666665,2.0,3.0,Female,Single,Year 4,Never,B.B.A. (Hons) in Finance,Satisfied,Yes
5.0,5.0,2.0,3.0,Female,Single,Year 4,Never,B.B.A. (Hons) in Finance,Very satisfied,Yes
3.5,4.0,3.5,2.5,Female,Single,Year 4,Never,B.B.A. (Hons) in Finance,Satisfied,Yes
3.3333333333333335,3.6666666666666665,2.25,3.0,Female,Single,Year 2,Never,,Satisfied,Yes
3.8333333333333335,3.6666666666666665,3.25,4.0,Female,Single,Year 3,Never,B.B.A. (Hons) in International Business,Satisfied,Yes
3.5,3.6666666666666665,3.25,4.0,Male,Single,Year 3,Never,B.B.A. (Hons) in International Business,Satisfied,Yes
3.0,3.0,3.0,3.0,Female,Single,Year 1,Never,,Satisfied,Yes
4.333333333333333,3.3333333333333335,2.0,4.5,Female,Single,Year 3,Never,B.B.A. (Hons) in Business Economics,Very satisfied,Yes
4.5,4.333333333333333,2.0,4.0,Male,Single,Year 1,Never,,Very satisfied,Yes
3.6666666666666665,3.0,3.0,3.0,Female,Single,Year 1,Never,,Satisfied,Yes
2.8333333333333335,3.0,1.75,1.5,Female,Single,Year 1,Once or twice,,Very satisfied,Yes
4.166666666666667,3.3333333333333335,2.75,2.5,Female,Single,Year 3,Once or twice,B.B.A. (Hons) in International Business,Satisfied,Yes
3.3333333333333335,4.0,1.75,3.5,Male,Divorced,Year 1,Never,,Very satisfied,Yes
4.0,3.6666666666666665,2.75,3.0,Female,Single,Year 3,Once or twice,B.B.A. (Hons) in International Business,Satisfied,Yes
3.0,3.0,2.75,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
3.8333333333333335,2.6666666666666665,3.25,3.5,Male,Single,Year 1,Never,,Very satisfied,Yes
3.8333333333333335,4.0,1.75,4.5,Male,Single,Year 1,Never,,Satisfied,Yes
4.166666666666667,4.0,2.25,3.0,Male,Single,Year 1,Never,,Very satisfied,Yes
3.5,2.6666666666666665,2.75,4.0,Female,Single,Year 4,Never,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.0,3.0,3.0,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
2.3333333333333335,4.666666666666667,3.75,4.0,Male,Single,Year 1,Never,,Very satisfied,Yes
1.0,2.3333333333333335,4.25,1.0,Male,Single,Year 1,Three or more times,,Very satisfied,Yes
5.0,5.0,1.0,5.0,Male,Single,Year 1,Never,,Very satisfied,No
3.8333333333333335,4.0,3.0,4.0,Male,Single,Year 1,Never,,Satisfied,Yes
3.8333333333333335,4.333333333333333,2.75,3.5,Male,Single,Year 1,Never,,Very satisfied,Yes
4.166666666666667,3.6666666666666665,2.25,3.5,Male,Single,Year 1,Never,,Satisfied,Yes
4.166666666666667,4.333333333333333,1.75,4.0,Male,Single,Year 1,Never,,Satisfied,Yes
3.8333333333333335,4.666666666666667,3.25,2.0,Female,Single,Year 3,Never,B.B.A. (Hons) in Business Economics,Satisfied,Yes
3.0,3.0,2.25,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
4.5,4.0,2.0,3.5,Male,Single,Year 1,Never,,Satisfied,Yes
4.0,3.6666666666666665,2.25,2.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.1666666666666665,3.3333333333333335,2.0,3.0,Female,Single,Year 2,Never,,Satisfied,Yes
3.1666666666666665,2.6666666666666665,2.75,3.0,Male,Single,Year 1,Once or twice,,Satisfied,Yes
3.0,2.0,2.25,4.0,Male,Single,Year 1,Never,,Very satisfied,Yes
3.0,4.0,2.5,1.0,Female,Single,Year 1,Never,,Very satisfied,Yes
3.6666666666666665,4.0,1.75,3.0,Male,Single,Year 1,Never,,Very satisfied,Yes
3.8333333333333335,4.333333333333333,2.75,3.5,Male,Single,Year 1,Never,,Very satisfied,Yes
3.0,3.0,3.0,3.5,Female,Single,Year 1,Never,,Satisfied,Yes
3.0,3.0,3.0,3.0,Male,Single,Year 1,Never,,Very satisfied,Yes
4.333333333333333,3.3333333333333335,2.0,2.5,Male,Single,Year 1,Never,,Satisfied,No
3.0,3.0,3.0,3.0,Male,Single,Year 1,Never,,Satisfied,Yes
3.6666666666666665,3.0,2.0,3.5,Female,Single,Year 1,Once or twice,,Satisfied,Yes
3.5,5.0,2.75,3.0,Female,Single,Year 1,Never,,Very satisfied,Yes
